Date,Open,High,Low,Close,Volume,Adj Close
2013-05-10,1626.69,1633.70,1623.71,1633.70,3086470000,1633.70
2013-05-09,1632.69,1635.01,1623.09,1626.67,3457400000,1626.67
2013-05-08,1625.95,1632.78,1622.70,1632.69,3554700000,1632.69
2013-05-07,1617.55,1626.03,1616.64,1625.96,3309580000,1625.96
2013-05-06,1614.40,1619.77,1614.21,1617.50,3062240000,1617.50
2013-05-03,1597.60,1618.46,1597.60,1614.42,3603910000,1614.42
2013-05-02,1582.77,1598.60,1582.77,1597.59,3366950000,1597.59
2013-05-01,1597.55,1597.55,1581.28,1582.70,3530320000,1582.70
2013-04-30,1593.58,1597.57,1586.50,1597.57,3745070000,1597.57
2013-04-29,1582.34,1596.65,1582.34,1593.61,2891200000,1593.61
2013-04-26,1585.16,1585.78,1577.56,1582.24,3198620000,1582.24
2013-04-25,1578.93,1592.64,1578.93,1585.16,3908580000,1585.16
2013-04-24,1578.78,1583.00,1575.80,1578.79,3598240000,1578.79
2013-04-23,1562.50,1579.58,1562.50,1578.78,3565150000,1578.78
2013-04-22,1555.25,1565.55,1548.19,1562.50,2979880000,1562.50
2013-04-19,1541.61,1555.89,1539.40,1555.25,3569870000,1555.25
2013-04-18,1552.03,1554.38,1536.03,1541.61,3890800000,1541.61
2013-04-17,1574.57,1574.57,1543.69,1552.01,4250310000,1552.01
2013-04-16,1552.36,1575.35,1552.36,1574.57,3654700000,1574.57
2013-04-15,1588.84,1588.84,1552.28,1552.36,4660130000,1552.36
2013-04-12,1593.30,1593.30,1579.97,1588.85,3206290000,1588.85
2013-04-11,1587.73,1597.35,1586.17,1593.37,3393950000,1593.37
2013-04-10,1568.61,1589.07,1568.61,1587.73,3453350000,1587.73
2013-04-09,1563.11,1573.89,1560.92,1568.61,3252780000,1568.61
2013-04-08,1553.26,1563.07,1548.63,1563.07,2887120000,1563.07
2013-04-05,1559.98,1559.98,1539.50,1553.28,3515410000,1553.28
2013-04-04,1553.69,1562.60,1552.52,1559.98,3350670000,1559.98
2013-04-03,1570.25,1571.47,1549.80,1553.69,4060610000,1553.69
2013-04-02,1562.17,1573.66,1562.17,1570.25,3312160000,1570.25
2013-04-01,1569.18,1570.57,1558.47,1562.17,2753110000,1562.17
2013-03-28,1562.86,1570.28,1561.08,1569.19,3304440000,1569.19
2013-03-27,1563.75,1564.07,1551.90,1562.85,2914210000,1562.85
2013-03-26,1551.69,1563.95,1551.69,1563.77,2869260000,1563.77
2013-03-25,1556.89,1564.91,1546.22,1551.69,3178170000,1551.69
2013-03-22,1545.90,1557.74,1545.90,1556.89,2948380000,1556.89
2013-03-21,1558.71,1558.71,1543.55,1545.80,3243270000,1545.80
2013-03-20,1548.34,1561.56,1548.34,1558.71,3349090000,1558.71
2013-03-19,1552.10,1557.25,1538.57,1548.34,3796210000,1548.34
2013-03-18,1560.70,1560.70,1545.13,1552.10,3164560000,1552.10
2013-03-15,1563.21,1563.62,1555.74,1560.70,5175850000,1560.70
2013-03-14,1554.52,1563.32,1554.52,1563.23,3459260000,1563.23
2013-03-13,1552.48,1556.39,1548.25,1554.52,3073830000,1554.52
2013-03-12,1556.22,1556.77,1548.24,1552.48,3274910000,1552.48
2013-03-11,1551.15,1556.27,1547.36,1556.22,3091080000,1556.22
2013-03-08,1544.26,1552.48,1542.94,1551.18,3652260000,1551.18
2013-03-07,1541.46,1545.78,1541.46,1544.26,3634710000,1544.26
2013-03-06,1539.79,1545.25,1538.11,1541.46,3676890000,1541.46
2013-03-05,1525.20,1543.47,1525.20,1539.79,3610690000,1539.79
2013-03-04,1518.20,1525.27,1512.29,1525.20,3414430000,1525.20
2013-03-01,1514.68,1519.99,1501.48,1518.20,3695610000,1518.20
2013-02-28,1515.99,1525.34,1514.46,1514.68,3912320000,1514.68
2013-02-27,1496.94,1520.08,1494.88,1515.99,3551850000,1515.99
2013-02-26,1487.85,1498.99,1485.01,1496.94,3975280000,1496.94
